"location","epidemic","model","targets","mean_wis","mean_absolute_error","median_absolute_error","median_signed_error","coverage90"
"Tennessee","sir","hurdle_ztpoisson",25,5.18809090909091,6.56,0,0,0.84
"Texas","ar1","hurdle_ztnb",25,24.2834666666667,31.02,5.5,-5.5,0.92
"Texas","ar1","hurdle_ztpoisson",25,30.9124424242424,34.14,9,-9,0.32
"Texas","hsgp","hurdle_ztnb",25,19.7954,32.42,9,-9,0.96
"Texas","hsgp","hurdle_ztpoisson",25,27.3944787878788,34.6,9,-9,0.6
"Texas","sir","hurdle_ztnb",25,29.2784545454545,34.38,9,-9,0.72
"Texas","sir","hurdle_ztpoisson",25,32.4324848484849,34.6,9,-9,0.28
"US","ar1","hurdle_ztnb",25,732.828836363637,929.72,403.5,-403.5,0.72
"US","ar1","hurdle_ztpoisson",25,978.873351515151,987.94,463,-463,0
"US","hsgp","hurdle_ztnb",25,594.688975757576,924,455,-455,0.72
"US","hsgp","hurdle_ztpoisson",25,942.029078787879,986.98,456,-456,0
"US","sir","hurdle_ztnb",25,950.593121212121,979.38,456,-456,0
"US","sir","hurdle_ztpoisson",25,978.002636363636,978.72,456,-456,0
"Utah","ar1","hurdle_ztnb",25,3.54390909090909,3.56,0,0,0.88
"Utah","ar1","hurdle_ztpoisson",25,2.55805454545455,3.3,0,0,0.92
"Utah","hsgp","hurdle_ztnb",25,2.74416363636364,3.42,0,0,0.92
"Utah","hsgp","hurdle_ztpoisson",25,2.79961818181818,3.22,0,0,0.96
"Utah","sir","hurdle_ztnb",25,2.91281212121212,3.56,0,0,0.92
"Utah","sir","hurdle_ztpoisson",25,2.76193939393939,3.56,0,0,0.84
"Vermont","ar1","hurdle_ztnb",25,1.31754545454545,1.4,0,0,0.84
"Vermont","ar1","hurdle_ztpoisson",25,0.720587878787879,1.12,0,0,0.96
"Vermont","hsgp","hurdle_ztnb",25,0.751545454545455,1.14,0,0,1
"Vermont","hsgp","hurdle_ztpoisson",25,0.724175757575758,1.08,0,0,1
"Vermont","sir","hurdle_ztnb",25,1.4,1.4,0,0,0.72
"Vermont","sir","hurdle_ztpoisson",25,1.4,1.4,0,0,0.72
"Virginia","ar1","hurdle_ztnb",25,17.5874121212121,21.66,7.5,-5,0.88
"Virginia","ar1","hurdle_ztpoisson",25,19.2581757575758,22.1,8,-8,0.6
"Virginia","hsgp","hurdle_ztnb",25,13.1824484848485,20.58,8,-8,0.76
"Virginia","hsgp","hurdle_ztpoisson",25,17.3732121212121,21.62,8,-8,0.52
"Virginia","sir","hurdle_ztnb",25,18.4262484848485,22.36,8,-8,0.76
"Virginia","sir","hurdle_ztpoisson",25,19.6134181818182,22.44,8,-8,0.48
"Washington","ar1","hurdle_ztnb",25,5.70470303030303,6.9,2,0,1
"Washington","ar1","hurdle_ztpoisson",25,5.98684848484849,7,2,0,0.72
"Washington","hsgp","hurdle_ztnb",25,4.62395151515152,6.34,2,0,0.96
"Washington","hsgp","hurdle_ztpoisson",25,5.90069090909091,7,2,0,0.96
"Washington","sir","hurdle_ztnb",25,5.18879393939394,6.92,2,0,1
"Washington","sir","hurdle_ztpoisson",25,6.17490909090909,7,2,0,0.64
"West Virginia","ar1","hurdle_ztnb",25,0.938042424242424,0.92,0,0,0.92
"West Virginia","ar1","hurdle_ztpoisson",25,0.784163636363637,0.92,0,0,0.92
"West Virginia","hsgp","hurdle_ztnb",25,0.866121212121212,0.86,0,0,1
"West Virginia","hsgp","hurdle_ztpoisson",25,0.984593939393939,0.92,0,0,1
"West Virginia","sir","hurdle_ztnb",25,0.861775757575758,0.92,0,0,0.92
"West Virginia","sir","hurdle_ztpoisson",25,0.788109090909091,0.92,0,0,0.92
"Wisconsin","ar1","hurdle_ztnb",25,9.09595151515152,10.18,1,0,0.84
"Wisconsin","ar1","hurdle_ztpoisson",25,8.56369696969697,10.26,1,0,0.68
"Wisconsin","hsgp","hurdle_ztnb",25,4.82766666666667,7.54,1,0,1
"Wisconsin","hsgp","hurdle_ztpoisson",25,7.58902424242424,9.96,3,0,0.88
"Wisconsin","sir","hurdle_ztnb",25,9.10751515151515,10.36,0,0,0.8
"Wisconsin","sir","hurdle_ztpoisson",25,8.60293939393939,10.48,1,0,0.8
"Wyoming","ar1","hurdle_ztnb",25,2.16974545454545,2.52,1,0,0.72
"Wyoming","ar1","hurdle_ztpoisson",25,2.25427878787879,2.56,1,0,0.68
"Wyoming","hsgp","hurdle_ztnb",25,2.11954545454545,2.44,1,0,0.72
"Wyoming","hsgp","hurdle_ztpoisson",25,2.1428303030303,2.48,1,0,0.8
"Wyoming","sir","hurdle_ztnb",25,2.52,2.52,1,0,0.44
"Wyoming","sir","hurdle_ztpoisson",25,2.52,2.52,1,0,0.44
