"location","origin","clock","model","event_date","event_year","age","current","truth","median","wis","absolute_error","coverage90"
"Alabama",2025-03-29,"compressed","hurdle_ztnb",2025-03-01,2025,4,330,330,330,0.174090909090909,0,TRUE
"Alabama",2025-03-29,"compressed","hurdle_ztnb",2025-03-08,2025,3,315,315,315,0.381818181818182,0,TRUE
"Alabama",2025-03-29,"compressed","hurdle_ztnb",2025-03-15,2025,2,273,273,273,0.474090909090909,0,TRUE
"Alabama",2025-03-29,"compressed","hurdle_ztnb",2025-03-22,2025,1,193,193,193,0.663636363636364,0,TRUE
"Alabama",2025-03-29,"compressed","hurdle_ztnb",2025-03-29,2025,0,162,169,162,4.265,7,TRUE
"Alabama",2025-03-29,"compressed","hurdle_ztpoisson",2025-03-01,2025,4,330,330,326,2.44545454545455,4,TRUE
"Alabama",2025-03-29,"compressed","hurdle_ztpoisson",2025-03-08,2025,3,315,315,310,2.64681818181818,5,TRUE
"Alabama",2025-03-29,"compressed","hurdle_ztpoisson",2025-03-15,2025,2,273,273,270,2.065,3,TRUE
"Alabama",2025-03-29,"compressed","hurdle_ztpoisson",2025-03-22,2025,1,193,193,191,1.67651515151515,2,TRUE
"Alabama",2025-03-29,"compressed","hurdle_ztpoisson",2025-03-29,2025,0,162,169,160,5.465,9,TRUE
"Alabama",2025-04-26,"calendar","empirical_multiplier",2025-03-29,2025,4,167,169,167,2,2,FALSE
"Alabama",2025-04-26,"calendar","empirical_multiplier",2025-04-05,2025,3,85,85,85,0,0,TRUE
"Alabama",2025-04-26,"calendar","empirical_multiplier",2025-04-12,2025,2,53,54,53,1,1,FALSE
"Alabama",2025-04-26,"calendar","empirical_multiplier",2025-04-19,2025,1,50,50,50,0,0,TRUE
"Alabama",2025-04-26,"calendar","empirical_multiplier",2025-04-26,2025,0,34,35,34,1,1,FALSE
"Alabama",2025-04-26,"calendar","cumulative_poisson",2025-03-29,2025,4,167,169,167,2.02727272727273,2,FALSE
"Alabama",2025-04-26,"calendar","cumulative_poisson",2025-04-05,2025,3,85,85,85,0.0272727272727273,0,TRUE
"Alabama",2025-04-26,"calendar","cumulative_poisson",2025-04-12,2025,2,53,54,53,1.02727272727273,1,FALSE
"Alabama",2025-04-26,"calendar","cumulative_poisson",2025-04-19,2025,1,50,50,50,0.154545454545455,0,TRUE
"Alabama",2025-04-26,"calendar","cumulative_poisson",2025-04-26,2025,0,34,35,39,2.91818181818182,4,TRUE
"Alabama",2025-04-26,"calendar","cumulative_nb",2025-03-29,2025,4,167,169,167,1.76363636363636,2,FALSE
"Alabama",2025-04-26,"calendar","cumulative_nb",2025-04-05,2025,3,85,85,85,0.1,0,TRUE
