"location","origin","clock","model","nll","convergence","max_gradient","gradient_status","finite_fit","finite_prediction","leakage_ok","use_random","retraction_mass","q_C_min","q_C_max","q_terminal","reconstruction","negative_projection_count","n_cells","fit_seconds","warnings"
"Arizona",2025-01-02,"compressed","hurdle_ztnb",737.511579094833,0,0.00249519114813568,"pass",TRUE,TRUE,TRUE,FALSE,0.0614013259402333,0.839471919873998,0.944697168067255,0.938615948200327,"anchored sequential hurdle updates",3,648,3.43800000000005,""
"Arizona",2025-01-02,"compressed","hurdle_ztpoisson",2798.79906377189,0,0.017411485444665,"pass",TRUE,TRUE,TRUE,FALSE,0.091168498125019,0.908832478046444,0.948396169154158,0.908832478046444,"anchored sequential hurdle updates",0,648,3.14600000000002,""
"Arizona",2025-02-15,"calendar","cumulative_poisson",16878.3537195485,0,0.0122967904005693,"pass",TRUE,TRUE,TRUE,TRUE,0.0429543336337061,0.680307085320735,0.963156848401699,0.957045666366294,"anchored independent signed-Poisson update approximation",0,1728,3.113,""
"Arizona",2025-02-15,"calendar","cumulative_nb",8611.5044307448,0,0.00274795457211141,"pass",TRUE,TRUE,TRUE,TRUE,0.089941707745881,0.350657370280281,0.910192568874949,0.910192568874949,"anchored independent signed-Poisson update approximation",0,1728,4.42999999999995,""
"Arizona",2025-02-15,"calendar","hurdle_ztnb",1456.94590774992,0,0.000183388377652749,"pass",TRUE,TRUE,TRUE,FALSE,0.106932201662245,0.369849177714151,0.893190159145762,0.893190159145762,"anchored sequential hurdle updates",23,1728,4.91399999999999,""
"Arizona",2025-02-15,"calendar","hurdle_ztpoisson",9497.4997244018,0,0.0732671845235817,"pass",TRUE,TRUE,TRUE,FALSE,0.777576360965491,0.227372891877131,0.905741910732907,0.227372891877131,"anchored sequential hurdle updates",106,1728,4.83100000000002,""
"Arizona",2025-02-15,"compressed","cumulative_poisson",4471.9039511376,0,0.0112464734907567,"pass",TRUE,TRUE,TRUE,TRUE,0.0114820656593617,0.9311615076838,0.997494506934122,0.988517934340638,"anchored independent signed-Poisson update approximation",0,783,2.07400000000001,""
"Arizona",2025-02-15,"compressed","cumulative_nb",3656.81126595986,0,0.000270976436073767,"pass",TRUE,TRUE,TRUE,TRUE,0.0219879068050362,0.938123513712598,0.995709886077254,0.97801209323921,"anchored independent signed-Poisson update approximation",0,783,2.40199999999999,""
"Arizona",2025-02-15,"compressed","hurdle_ztnb",984.716848946884,0,0.000571119891238148,"pass",TRUE,TRUE,TRUE,FALSE,0.178552167069498,0.544946580810698,0.839112676950303,0.821656208407833,"anchored sequential hurdle updates",62,783,3.63200000000001,""
"Arizona",2025-02-15,"compressed","hurdle_ztpoisson",8084.3703041296,0,0.00488683692072778,"pass",TRUE,TRUE,TRUE,FALSE,0.501768919379909,0.499312595074948,0.872810314946766,0.499312595074948,"anchored sequential hurdle updates",13,783,3.55500000000001,""
