"location","origin","clock","epidemic","model","nll","convergence","max_gradient","gradient_status","finite_fit","finite_prediction","leakage_ok","use_random","fit_seconds","warnings"
"Arkansas",2025-02-15,"calendar","hsgp","hurdle_ztpoisson",1783.57825175875,0,0.00427731747174787,"pass",TRUE,TRUE,TRUE,FALSE,4.05000000000001,""
"Arkansas",2025-02-15,"calendar","sir","hurdle_ztnb",992.801921262804,0,0.00155553243737372,"pass",TRUE,TRUE,TRUE,FALSE,4.44600000000003,""
"Arkansas",2025-02-15,"calendar","sir","hurdle_ztpoisson",1399.75399507731,0,0.0146644384491164,"pass",TRUE,TRUE,TRUE,FALSE,4.411,""
"Arkansas",2025-03-29,"calendar","hsgp","hurdle_ztnb",1082.10928544526,0,0.00254034264401048,"pass",TRUE,TRUE,TRUE,FALSE,4.73399999999998,""
"Arkansas",2025-03-29,"calendar","hsgp","hurdle_ztpoisson",2244.82847220053,0,0.0115438929695955,"pass",TRUE,TRUE,TRUE,FALSE,4.41800000000001,""
"Arkansas",2025-03-29,"calendar","sir","hurdle_ztnb",1245.21327904259,0,0.0182606412472186,"pass",TRUE,TRUE,TRUE,FALSE,4.84300000000002,""
"Arkansas",2025-03-29,"calendar","sir","hurdle_ztpoisson",1890.12071431159,0,0.0200088492237313,"pass",TRUE,TRUE,TRUE,FALSE,4.96500000000003,""
"Arkansas",2025-04-26,"calendar","hsgp","hurdle_ztnb",1146.93623397257,0,0.00503938956235639,"pass",TRUE,TRUE,TRUE,FALSE,4.83999999999997,""
"Arkansas",2025-04-26,"calendar","hsgp","hurdle_ztpoisson",2318.60326830087,0,0.0309490219774,"pass",TRUE,TRUE,TRUE,FALSE,4.62799999999999,""
"Arkansas",2025-04-26,"calendar","sir","hurdle_ztnb",1239.78741020351,0,0.000592962887609239,"pass",TRUE,TRUE,TRUE,FALSE,5.60199999999998,""
"Arkansas",2025-04-26,"calendar","sir","hurdle_ztpoisson",1962.12121190698,0,0.0453284716419231,"pass",TRUE,TRUE,TRUE,FALSE,5.25400000000002,""
"Arkansas",2025-05-31,"calendar","hsgp","hurdle_ztnb",1212.04030734254,0,0.0042676255040055,"pass",TRUE,TRUE,TRUE,FALSE,5.17400000000004,""
"Arkansas",2025-05-31,"calendar","hsgp","hurdle_ztpoisson",2393.03584526689,0,0.0248499697693371,"pass",TRUE,TRUE,TRUE,FALSE,4.66899999999998,""
"Arkansas",2025-05-31,"calendar","sir","hurdle_ztnb",1309.14551303595,0,0.0404416662683293,"pass",TRUE,TRUE,TRUE,FALSE,5.577,""
"Arkansas",2025-05-31,"calendar","sir","hurdle_ztpoisson",2043.31126307841,0,0.0214775235951961,"pass",TRUE,TRUE,TRUE,FALSE,5.36000000000007,""
"California",2025-01-02,"calendar","hsgp","hurdle_ztnb",1123.98954236834,0,0.00453242826187505,"pass",TRUE,TRUE,TRUE,FALSE,4.28100000000006,""
"California",2025-01-02,"calendar","hsgp","hurdle_ztpoisson",4332.50083705016,0,0.0106570392340306,"pass",TRUE,TRUE,TRUE,FALSE,4.17200000000003,""
"California",2025-01-02,"calendar","sir","hurdle_ztnb",1303.24165481216,0,0.000285980069624991,"pass",TRUE,TRUE,TRUE,FALSE,4.49099999999999,""
"California",2025-01-02,"calendar","sir","hurdle_ztpoisson",2357.58302215057,0,0.0120906838532446,"pass",TRUE,TRUE,TRUE,FALSE,4.91999999999996,""
"California",2025-02-15,"calendar","hsgp","hurdle_ztnb",1367.59786904101,0,0.00380169777315853,"pass",TRUE,TRUE,TRUE,FALSE,4.774,""
